File Name,Pos.Z,Depth (cm),Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,Unnamed: 39
wb497_10_8_rec_voi_0111.bmp,2.20698,8.220698,83.0,65.19799,29.73559,45.60813,30.23853,237.17968,7.97629,0.35826,0.67539,-1.69236,52.0,31.0,6.77863,11.55108,18.56435,28.68378,35.46241,43.99489,54.39187,,,,,,,,,,,,129.43424,0.46522,0.25074,0.29903,1.81892,1.68201,12.85715,
wb497_10_8_rec_voi_0112.bmp,2.22686,8.222686,97.0,65.19799,29.76558,45.65413,30.23853,238.90455,8.02620,0.30686,0.62507,-0.31649,71.0,26.0,6.01916,1.96934,16.82048,29.41325,35.43241,45.11373,54.34587,,,,,,,,,,,,129.44144,0.47276,0.24918,0.29662,1.83215,1.68038,12.85715,
wb497_10_8_rec_voi_0113.bmp,2.24674,8.224674,93.0,65.19799,29.88551,45.83808,30.23853,240.65105,8.05243,0.32135,0.63965,-0.84268,63.0,30.0,6.31368,5.35905,17.44149,28.99880,35.31248,44.47806,54.16192,,,,,,,,,,,,128.56963,0.47702,0.24837,0.29347,1.84554,1.63501,12.81539,
wb497_10_8_rec_voi_0114.bmp,2.26663,8.226663,88.0,65.19799,30.08371,46.14209,30.23853,241.05305,8.01274,0.34186,0.65975,-0.74809,61.0,27.0,5.98991,4.53079,16.60468,29.12437,35.11428,44.67065,53.85791,,,,,,,,,,,,127.79325,0.47714,0.24960,0.29134,1.84862,1.68735,12.63885,
wb497_10_8_rec_voi_0115.bmp,2.28651,8.228651,81.0,65.19799,30.18971,46.30466,30.23853,243.76240,8.07435,0.37271,0.68888,-1.44419,31.0,50.0,5.99381,8.71030,16.56504,29.01447,35.00828,44.50209,53.69534,,,,,,,,,,,,127.28189,0.47932,0.24770,0.28723,1.86940,1.68601,12.38720,
wb497_10_8_rec_voi_0116.bmp,2.30639,8.230639,89.0,65.19799,30.09464,46.15884,30.23853,244.16502,8.11324,0.33814,0.65615,-1.05540,41.0,48.0,6.00637,6.37896,16.63767,29.09699,35.10336,44.62866,53.84116,,,,,,,,,,,,126.76778,0.48094,0.24651,0.28754,1.87249,1.68668,11.98913,
wb497_10_8_rec_voi_0117.bmp,2.32627,8.232627,83.0,65.19799,29.95840,45.94988,30.23853,239.95940,8.00975,0.36094,0.67792,-1.44982,37.0,46.0,5.90101,8.59665,16.45597,29.33858,35.23960,44.99921,54.05012,,,,,,,,,,,,125.94898,0.48585,0.24970,0.29371,1.84024,1.6821,11.45571,
wb497_10_8_rec_voi_0118.bmp,2.34616,8.234616,79.0,65.19799,29.80966,45.72174,30.23853,236.47438,7.93281,0.37734,0.69314,-2.92863,38.0,41.0,7.27752,21.33482,19.62274,28.11081,35.38834,43.11607,54.27826,,,,,,,,,,,,125.37272,0.48705,0.25212,0.29930,1.81351,1.67532,11.23459,
wb497_10_8_rec_voi_0119.bmp,2.36604,8.236604,83.0,65.19799,29.49128,45.23341,30.23853,230.55153,7.81762,0.35532,0.67261,-1.47013,54.0,29.0,6.76173,9.97197,18.65149,28.94499,35.70672,44.39552,54.76659,,,,,,,,,,,,124.42126,0.48405,0.25583,0.30975,1.76809,1.67128,11.07794,
wb497_10_8_rec_voi_0120.bmp,2.38592,8.238592,91.0,65.19799,29.25413,44.86968,30.23853,227.75465,7.78538,0.32147,0.63978,-1.93340,62.0,29.0,7.19895,13.95065,19.74854,28.74491,35.94386,44.08864,55.13032,,,,,,,,,,,,123.45536,0.48173,0.25689,0.31564,1.74664,1.67128,10.86847,
wb497_10_8_rec_voi_0121.bmp,2.40581,8.240581,103.0,65.19799,28.90294,44.33103,30.23853,227.17382,7.85989,0.28061,0.59773,0.22307,66.0,37.0,5.97153,-1.30458,17.12292,30.32353,36.29505,46.50991,55.66897,,,,,,,,,,,,121.55401,0.47937,0.25446,0.31954,1.74218,1.67028,10.56540,
wb497_10_8_rec_voi_0122.bmp,2.42569,8.242569,101.0,65.19799,28.64213,43.93099,30.23853,226.07803,7.89320,0.28359,0.60089,-0.67197,73.0,28.0,6.29238,4.25823,18.01194,30.26349,36.55587,46.41782,56.06901,,,,,,,,,,,,120.96116,0.47648,0.25338,0.32339,1.73378,1.64816,10.54793,
wb497_10_8_rec_voi_0123.bmp,2.44557,8.244557,104.0,65.19799,28.44264,43.62502,30.23853,228.84927,8.04599,0.27349,0.59010,-0.69036,74.0,30.0,6.17650,4.29434,17.84129,30.57886,36.75536,46.90153,56.37498,,,,,,,,,,,,120.90069,0.46597,0.24857,0.32122,1.75503,1.67311,9.95686,
wb497_10_8_rec_voi_0124.bmp,2.46545,8.246545,105.0,65.19799,28.33002,43.45229,30.23853,230.38048,8.13203,0.26981,0.58612,-1.43063,71.0,34.0,6.49513,9.32456,18.65069,30.37284,36.86797,46.58555,56.54771,,,,,,,,,,,,120.87304,0.45272,0.24594,0.32006,1.76678,1.66973,9.81186,
wb497_10_8_rec_voi_0125.bmp,2.48534,8.248534,108.0,65.19799,28.19067,43.23855,30.23853,232.79583,8.25790,0.26102,0.57650,-0.29544,79.0,29.0,6.66324,1.99760,19.11763,30.34408,37.00733,46.54144,56.76145,,,,,,,,,,,,120.76866,0.43732,0.24219,0.31794,1.78530,1.67243,9.76045,
wb497_10_8_rec_voi_0126.bmp,2.50522,8.250522,111.0,65.19799,28.04559,43.01603,30.23853,233.68997,8.33250,0.25266,0.56719,-1.16957,85.0,26.0,7.43071,8.72257,20.94556,29.72170,37.15241,45.58683,56.98397,,,,,,,,,,,,121.06354,0.41376,0.24002,0.31796,1.79216,1.67602,9.66686,
wb497_10_8_rec_voi_0127.bmp,2.52510,8.252510000000001,101.0,65.19799,27.84239,42.70437,30.23853,235.13400,8.44518,0.27567,0.59244,-1.42301,65.0,36.0,7.07245,10.09672,20.25628,30.28315,37.35560,46.44799,57.29563,,,,,,,,,,,,120.61515,0.39166,0.23682,0.31774,1.80323,1.67927,9.52185,
wb497_10_8_rec_voi_0128.bmp,2.54498,8.254498,106.0,65.19799,27.61518,42.35587,30.23853,235.74178,8.53667,0.26052,0.57594,0.20625,69.0,37.0,7.04058,-1.42456,20.31575,30.54224,37.58281,46.84537,57.64413,,,,,,,,,,,,119.12457,0.36756,0.23428,0.31885,1.80789,1.53047,9.29591,
wb497_10_8_rec_voi_0129.bmp,2.56487,8.256487,129.0,65.19799,27.45068,42.10356,30.23853,238.21771,8.67803,0.21280,0.52052,-0.45611,85.0,44.0,5.95364,2.78560,17.82297,31.79368,37.74732,48.76481,57.89644,,,,,,,,,,,,117.99251,0.34465,0.23047,0.31691,1.82688,1.68276,9.39773,
wb497_10_8_rec_voi_0130.bmp,2.58475,8.258475,130.0,65.19799,27.23849,41.77811,30.23853,238.62619,8.76063,0.20953,0.51651,-0.58119,83.0,47.0,5.93970,3.52350,17.90244,32.01980,37.95951,49.11164,58.22189,,,,,,,,,,,,116.35972,0.31785,0.22829,0.31815,1.83001,1.67197,9.86127,
wb497_10_8_rec_voi_0131.bmp,2.60463,8.260463,122.0,65.19799,27.07280,41.52397,30.23853,236.05426,8.71924,0.22191,0.53155,-0.30605,92.0,30.0,5.87314,1.86734,17.82660,32.25205,38.12520,49.46786,58.47603,,,,,,,,,,,,116.40267,0.29317,0.22938,0.32302,1.81029,1.60144,9.96551,
wb497_10_8_rec_voi_0132.bmp,2.62452,8.262452,122.0,65.19799,26.88522,41.23627,30.23853,235.94295,8.77594,0.22037,0.52970,-1.54212,92.0,30.0,8.69337,13.47327,24.43427,29.61941,38.31278,45.42994,58.76373,,,,,,,,,,,,115.91917,0.27315,0.22790,0.32476,1.80943,1.67117,10.08381,
wb497_10_8_rec_voi_0133.bmp,2.64440,8.26444,133.0,65.19799,26.64417,40.86655,30.23853,237.78512,8.92447,0.20033,0.50505,-0.19621,98.0,35.0,5.88060,1.21146,18.08038,32.67322,38.55382,50.11384,59.13345,,,,,,,,,,,,117.08800,0.23513,0.22410,0.32427,1.82356,1.58918,10.30152,
