Description,Unit,10.0,12.0,14.0,15.5,17.0,19.0,21.0,22.5,23.5,25.5,27.5,29.5,30.0,32.0,34.0,36.0,37.0,39.0,41.0,43.0,45.0,47.0,4.0,49.0,51.0,53.0,55.0,57.0,58.5,60.5,61.0,61.25,62.0,64.0,66.0,68.0,6.0,70.0,71.0,73.0,75.0,77.0,77.5,78.0,79.0,81.0,83.0,85.0,87.0,8.0,89.0,91.0,93.0
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Depth,cm,11-9cm,13-11cm,15-13cm,16.5-14.5cm,18-16cm,20-18cm,22-20cm,23.5-21.5cm,24.5-22.5cm,26.5-24.5cm,28.5-26.5cm,30.5-28.5cm,31-29cm,33-31cm,35-33cm,37-35cm,38-36cm,40-38cm,42-40cm,44-42cm,46-44cm,48-46cm,5-3cm,50-48cm,52-50cm,54-52cm,56-54cm,58-56cm,59.5-57.5cm,61.5-59.5cm,62-60cm,62.5-60.5,63-61cm,65-63cm,67-65cm,69-67cm,7-5cm,71-69cm,72-70cm,74-72cm,76-74cm,78-76cm,78.5-76.5cm,79-77cm,80-78cm,82-80cm,84-82cm,86-84cm,88-86cm,9-7cm,90-88cm,92-90cm,94-92cm
Moment of inertia (x),mm^5,29726.44529,33561.03082,29739.12780,26891.52062,29665.86417,23454.87714,27239.38167,18092.55400,28678.54974,33392.42751,18208.87626,28323.50012,31746.64363,27516.18506,21117.04615,31471.42116,19148.47303,28353.47940,35989.80540,28577.98987,20987.27986,27888.97382,19967.72813,31828.69563,33089.84704,25958.42222,21960.38950,25884.00610,17278.45116,20723.37373,20485.54832,11364.69784,27532.02054,9143.48659,26289.41065,21241.59633,28492.32148,20221.61964,30353.95638,26110.21460,24242.37170,33694.90414,18967.47430,20680.69040,16973.17489,30741.71502,17788.35056,17414.04711,32587.53010,18396.91642,35063.36757,43323.40048,28771.36554
Moment of inertia (y),mm^5,29445.70794,33793.86719,29912.30737,27321.58166,29512.83206,23613.23390,27430.10896,18339.94371,28266.29088,33434.98947,18264.30084,27952.10678,31606.22929,27464.23583,20798.47869,31664.47284,19753.60999,28423.75970,36109.78963,28222.11797,21164.35298,28224.39253,20011.06118,31590.51763,33496.15765,26630.73495,21883.91460,26253.69642,17281.20229,20507.07585,20634.59646,11408.79034,27556.87170,9090.78349,26257.89080,21242.34603,28245.32715,20169.30200,30337.45158,26091.90315,24284.60742,33875.06887,19266.29161,20713.40128,17010.70879,30805.46555,17748.84840,17489.04520,32619.92572,18238.97321,35049.04327,43326.25642,28798.57541
Moment of inertia (z),mm^5,11194.35140,11844.74823,11298.97965,10408.61402,10661.67636,9583.48560,9392.26836,8279.98005,11216.46621,11255.88015,8494.41014,10488.34641,10628.05451,9790.94888,10198.81288,11389.35249,9370.47124,11099.54801,11818.46246,10224.94272,9579.78469,9987.31431,8381.16694,12221.69997,11623.65774,9611.24909,8817.76756,8683.64823,7408.49749,7772.01708,7973.96180,6068.35423,9118.83378,5842.04194,8580.36612,8637.51440,10243.30320,8743.91888,10910.65052,10459.34105,9885.41729,11094.53604,8425.52058,8985.20977,7579.83824,10331.12642,7520.47700,7470.32790,12310.59161,9301.72996,13572.83033,14215.84194,12150.98306
Polar moment of inertia,mm^5,35183.25232,39599.82312,35475.20741,32310.85815,34920.18630,28325.79832,32030.87950,22356.23888,34080.65341,39041.64857,22483.79362,33381.97666,36990.46371,32385.68489,26057.16886,37262.62324,24136.27713,33938.39355,41959.02875,33512.52529,25865.70876,33050.34033,24179.97813,37820.45661,39104.83121,31100.20313,26331.03583,30410.67537,20984.07547,24501.23333,24547.05329,14420.92120,32103.86301,12038.15601,30563.83378,25560.72838,33490.47591,24567.42026,35801.02924,31330.72940,29206.19821,39332.25452,23329.64325,25189.65073,20781.86096,35939.15350,21528.83798,21186.71011,38759.02372,22968.80979,41842.62058,50432.74942,34860.46201
Radius of gyration (x),mm,6.35905,6.65223,6.32944,6.34283,6.61295,6.16121,6.66167,5.80673,6.39229,6.70485,5.75586,6.50711,6.74378,6.58902,5.85257,6.48227,5.76936,6.23260,6.76126,6.44647,5.76817,6.54186,5.95714,6.38606,6.73843,6.41901,6.26829,6.77225,5.95917,6.42161,6.33428,5.32737,6.79063,4.85188,6.85755,6.12120,6.54555,5.94969,6.50643,6.17018,6.11076,6.84458,5.96390,5.91178,5.89113,6.79425,6.00728,6.00645,6.44097,5.51819,6.28231,6.81622,6.01823
Radius of gyration (y),mm,6.32896,6.67527,6.34784,6.39334,6.59588,6.18198,6.68496,5.84629,6.34617,6.70912,5.76461,6.46431,6.72885,6.58280,5.80825,6.50213,5.85981,6.24032,6.77252,6.40621,5.79245,6.58108,5.96360,6.36212,6.77968,6.50161,6.25736,6.82044,5.95964,6.38801,6.35728,5.33769,6.79370,4.83788,6.85344,6.12131,6.51712,5.94199,6.50466,6.16802,6.11608,6.86285,6.01069,5.91645,5.89764,6.80129,6.00061,6.01937,6.44417,5.49445,6.28103,6.81645,6.02108
Radius of gyration (z),mm,3.90230,3.95196,3.90140,3.94613,3.96442,3.93832,3.91174,3.92822,3.99766,3.89273,3.93129,3.95975,3.90195,3.93042,4.06728,3.89959,4.03591,3.89959,3.87452,3.85600,3.89707,3.91480,3.85945,3.95721,3.99377,3.90588,3.97199,3.92255,3.90210,3.93261,3.95194,3.89286,3.90806,3.87826,3.91770,3.90335,3.92466,3.91237,3.90086,3.90522,3.90216,3.92753,3.97488,3.89672,3.93683,3.93868,3.90601,3.93403,3.95882,3.92379,3.90866,3.90453,3.91106
Polar radius of gyration,mm,6.91813,7.22597,6.91295,6.95263,7.17473,6.77081,7.22386,6.45477,6.96838,7.24985,6.39593,7.06432,7.27946,7.14831,6.50120,7.05352,6.47732,6.81885,7.30046,6.98087,6.40357,7.12153,6.55543,6.96125,7.32532,7.02604,6.86377,7.34058,6.56717,6.98245,6.93382,6.00109,7.33280,5.56717,7.39405,6.71475,7.09648,6.55792,7.06615,6.75893,6.70726,7.39502,6.61423,6.52449,6.51868,7.34617,6.60877,6.62521,7.02445,6.16585,6.86281,7.35426,6.62453
Product of inertia (xy),mm^5,125.85900,74.82143,0.53453,23.01492,-55.16629,165.60788,103.60952,-4.79929,-74.86735,-6.64005,-159.19798,-101.23391,-24.97440,-74.42101,282.67684,-89.80325,162.05074,38.47056,-15.40426,64.65757,0.61203,143.85042,-185.79122,67.35510,143.76863,47.12328,200.37761,48.00193,-58.47182,-2.85506,15.63849,53.08882,55.87990,4.56271,33.89371,-0.95601,-7.67795,14.63279,12.40012,-11.06601,13.98225,-91.49976,18.51499,-51.35852,-33.73765,176.46380,15.46840,-69.33657,-118.31325,-183.02466,0.60493,-13.62986,8.88432
Product of inertia (xz),mm^5,-634.69556,-1030.44002,-1162.25059,-796.61240,485.72833,-1291.05316,284.79859,-812.87281,-1417.47517,33.95912,902.52691,-701.00516,15.70579,-861.11967,-2028.86896,-998.05322,1919.85103,78.60210,-152.58775,439.28561,434.01158,1302.47522,-308.44533,-694.87780,3640.72139,1646.20040,720.42106,671.22002,33.82719,1218.47857,-2121.45382,919.33761,-329.32335,83.50994,-58.28749,91.86707,384.31217,-486.42960,-362.50592,-45.18497,-122.20974,-1308.98240,1921.08686,-44.95547,-394.78445,-6.56360,128.92878,-4.24839,1393.49893,-558.21100,241.42310,-123.55333,796.13152
